# MTD Statistics
# ==============
# operation;address (page index for R/W, bloc for E);time taken;energy mem;energy cpu
mtd_write;49424;411.5;7.03665e-05;0.000186409
mtd_write;49425;411.5;7.03665e-05;0.000186409
mtd_write;49426;411.5;7.03665e-05;0.000186409
mtd_write;49427;411.5;7.03665e-05;0.000186409
mtd_write;49428;411.5;7.03665e-05;0.000186409
mtd_write;49429;411.5;7.03665e-05;0.000186409
mtd_write;49430;411.5;7.03665e-05;0.000186409
mtd_write;49431;411.5;7.03665e-05;0.000186409
mtd_write;49432;411.5;7.03665e-05;0.000186409
mtd_write;49433;411.5;7.03665e-05;0.000186409
mtd_write;49434;411.5;7.03665e-05;0.000186409
mtd_write;49435;411.5;7.03665e-05;0.000186409
mtd_write;49436;411.5;7.03665e-05;0.000186409
mtd_write;49437;411.5;7.03665e-05;0.000186409
mtd_write;49438;411.5;7.03665e-05;0.000186409
mtd_write;49439;411.5;7.03665e-05;0.000186409
mtd_write;49440;411.5;7.03665e-05;0.000186409
mtd_write;49441;411.5;7.03665e-05;0.000186409
mtd_write;49442;411.5;7.03665e-05;0.000186409
mtd_write;49443;411.5;7.03665e-05;0.000186409
