# JFFS2 Statistics
# ================
# A call to jffs2_readpage can be triggered by a vfs_read with a page cache miss, but also a 
# call to jffs2_write_begin (coming from a vfs_write) on a page wich is not up to date. 
# type ; process time ; e_mem ; e_cpu
jffs2_readpage;789;9.93477e-317;1.27963e-321
jffs2_readpage;789;9.87648e-317;1.28457e-321
jffs2_readpage;789;9.92677e-317;1.28951e-321
jffs2_readpage;789;1.00347e-316;1.29445e-321
jffs2_readpage;789;9.93394e-317;1.29939e-321
jffs2_readpage;789;1.00556e-316;1.30433e-321
jffs2_readpage;789;1.00559e-316;1.30927e-321
jffs2_readpage;789;9.89157e-317;1.31421e-321
jffs2_readpage;789;9.91829e-317;1.31916e-321
jffs2_garbage_collect_pass;1372;6.95311e-310;6.95311e-310
jffs2_garbage_collect_pass;1372;6.95311e-310;6.95311e-310
jffs2_garbage_collect_pass;1372;6.95311e-310;6.95311e-310
jffs2_garbage_collect_pass;1372;6.95311e-310;6.95311e-310
jffs2_garbage_collect_pass;1372;6.95311e-310;6.95311e-310
jffs2_garbage_collect_pass;1372;6.95311e-310;6.95311e-310
jffs2_garbage_collect_pass;1372;6.95311e-310;6.95311e-310
jffs2_readpage;1521;9.91693e-317;1.33398e-321
jffs2_readpage;789;9.91757e-317;1.33892e-321
jffs2_readpage;789;9.91721e-317;1.34386e-321
jffs2_readpage;789;9.91947e-317;1.3488e-321
jffs2_readpage;789;9.98527e-317;1.35374e-321
jffs2_readpage;789;9.98612e-317;1.35868e-321
jffs2_readpage;789;9.98639e-317;1.36856e-321
jffs2_readpage;789;9.98665e-317;1.3735e-321
jffs2_readpage;789;9.98692e-317;1.37844e-321
jffs2_readpage;789;9.98776e-317;1.38338e-321
jffs2_readpage;789;9.98803e-317;1.38832e-321
jffs2_readpage;789;9.9884e-317;1.39327e-321
jffs2_readpage;789;9.9887e-317;1.39821e-321
jffs2_readpage;789;9.98894e-317;1.40315e-321
jffs2_readpage;789;9.9896e-317;1.40809e-321
jffs2_readpage;789;9.98994e-317;1.41303e-321
jffs2_readpage;789;9.98821e-317;1.41797e-321
jffs2_readpage;789;9.99073e-317;1.42291e-321
jffs2_readpage;789;9.98827e-317;1.42785e-321
jffs2_readpage;789;9.99167e-317;1.43279e-321
jffs2_readpage;789;9.99198e-317;1.43773e-321
jffs2_readpage;789;9.99224e-317;1.44267e-321
jffs2_readpage;789;9.99258e-317;1.44761e-321
jffs2_readpage;789;9.85541e-317;1.45255e-321
jffs2_readpage;789;9.99319e-317;1.45749e-321
jffs2_readpage;789;9.99345e-317;1.46243e-321
jffs2_readpage;789;9.99372e-317;1.46737e-321
jffs2_readpage;789;9.99403e-317;1.47232e-321
jffs2_readpage;789;9.99436e-317;1.47726e-321
jffs2_readpage;789;9.89649e-317;1.4822e-321
jffs2_readpage;789;9.89519e-317;1.48714e-321
jffs2_readpage;789;9.87866e-317;1.49702e-321
jffs2_garbage_collect_pass;1372;6.95311e-310;6.95311e-310
jffs2_garbage_collect_pass;1372;6.95311e-310;6.95311e-310
jffs2_garbage_collect_pass;183;6.95311e-310;6.95311e-310
jffs2_garbage_collect_pass;183;6.95311e-310;6.95311e-310
jffs2_garbage_collect_pass;1372;6.95311e-310;6.95311e-310
jffs2_garbage_collect_pass;1372;6.95311e-310;6.95311e-310
jffs2_readpage;789;9.8919e-317;1.50196e-321
jffs2_readpage;789;9.87904e-317;1.5069e-321
jffs2_readpage;789;9.89214e-317;1.51184e-321
jffs2_readpage;1521;9.87621e-317;1.52666e-321
jffs2_readpage;789;9.93022e-317;1.5316e-321
jffs2_readpage;789;9.92956e-317;1.53654e-321
jffs2_readpage;789;9.92934e-317;1.54148e-321
jffs2_readpage;789;9.92911e-317;1.54643e-321
jffs2_readpage;789;9.86866e-317;1.55137e-321
jffs2_readpage;789;9.85606e-317;1.55631e-321
jffs2_readpage;789;9.93032e-317;1.56125e-321
jffs2_readpage;789;9.86644e-317;1.56619e-321
jffs2_readpage;789;9.89605e-317;1.57113e-321
jffs2_readpage;789;9.85556e-317;1.57607e-321
jffs2_readpage;789;9.8686e-317;1.58101e-321
jffs2_readpage;789;9.93027e-317;1.58595e-321
jffs2_readpage;789;9.86835e-317;1.59089e-321
jffs2_readpage;789;9.87112e-317;1.59583e-321
jffs2_readpage;789;9.99893e-317;1.60077e-321
jffs2_readpage;789;9.95451e-317;1.60571e-321
jffs2_readpage;789;9.99922e-317;1.61065e-321
jffs2_readpage;789;9.99949e-317;1.61559e-321
jffs2_readpage;789;9.87628e-317;1.62054e-321
jffs2_readpage;789;1.00008e-316;1.62548e-321
jffs2_readpage;789;1.0001e-316;1.63536e-321
jffs2_readpage;789;1.00014e-316;1.6403e-321
jffs2_readpage;789;1.00017e-316;1.64524e-321
jffs2_readpage;789;9.99729e-317;1.65018e-321
jffs2_readpage;789;1.00024e-316;1.65512e-321
jffs2_readpage;789;9.90124e-317;1.66006e-321
jffs2_readpage;789;9.90029e-317;1.665e-321
jffs2_readpage;789;9.89896e-317;1.66994e-321
jffs2_garbage_collect_pass;1372;6.95311e-310;6.95311e-310
jffs2_garbage_collect_pass;12243.9;6.95311e-310;6.95311e-310
jffs2_garbage_collect_pass;1372;6.95311e-310;6.95311e-310
jffs2_garbage_collect_pass;1372;6.95311e-310;6.95311e-310
jffs2_garbage_collect_pass;1372;6.95311e-310;6.95311e-310
jffs2_garbage_collect_pass;1372;6.95311e-310;6.95311e-310
jffs2_garbage_collect_pass;1372;6.95311e-310;6.95311e-310
jffs2_garbage_collect_pass;777.5;6.95311e-310;6.95311e-310
jffs2_readpage;789;9.99305e-317;1.67488e-321
jffs2_readpage;789;9.89832e-317;1.67982e-321
jffs2_readpage;789;9.89928e-317;1.68476e-321
jffs2_readpage;789;9.89788e-317;1.6897e-321
jffs2_readpage;789;1.00026e-316;1.69465e-321
jffs2_readpage;789;1.00084e-316;1.70453e-321
jffs2_readpage;789;1.00043e-316;1.70947e-321
jffs2_readpage;789;1.00046e-316;1.71441e-321
jffs2_readpage;789;1.00049e-316;1.71935e-321
jffs2_readpage;789;1.00051e-316;1.72429e-321
jffs2_readpage;789;1.00055e-316;1.72923e-321
jffs2_readpage;789;9.92318e-317;1.73417e-321
jffs2_readpage;789;1.00394e-316;1.73911e-321
jffs2_readpage;789;1.00065e-316;1.74405e-321
jffs2_readpage;789;1.00068e-316;1.74899e-321
jffs2_readpage;789;1.00054e-316;1.75393e-321
jffs2_readpage;789;1.00081e-316;1.75887e-321
jffs2_readpage;789;9.93999e-317;1.76381e-321
jffs2_readpage;789;9.87317e-317;1.76876e-321
jffs2_readpage;789;1.00389e-316;1.7737e-321
jffs2_readpage;789;9.86711e-317;1.77864e-321
jffs2_readpage;789;9.87207e-317;1.78358e-321
jffs2_readpage;789;9.90342e-317;1.78852e-321
jffs2_readpage;789;1.0038e-316;1.79346e-321
jffs2_readpage;789;1.00082e-316;1.7984e-321
jffs2_readpage;789;1.00391e-316;1.80334e-321
jffs2_readpage;789;1.00094e-316;1.80828e-321
jffs2_readpage;789;1.00097e-316;1.81322e-321
jffs2_readpage;789;1.001e-316;1.8231e-321
jffs2_readpage;789;1.00102e-316;1.82804e-321
jffs2_readpage;789;1.00106e-316;1.83298e-321
jffs2_readpage;789;9.90345e-317;1.83792e-321
jffs2_garbage_collect_pass;183;6.95311e-310;6.95311e-310
jffs2_garbage_collect_pass;1372;6.95311e-310;6.95311e-310
jffs2_garbage_collect_pass;1372;6.95311e-310;6.95311e-310
jffs2_garbage_collect_pass;1372;6.95311e-310;6.95311e-310
